pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,322.921438,518.370731,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,322.990000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,322.990000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,322.980000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,322.980000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,322.980000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,322.990000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,322.990000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,517.980000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.000000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,517.990000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.040000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.000000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.010000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.020000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.040000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.040000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.030000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.040000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.010000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.040000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.020000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.050000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.060000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.040000,NaN,NaN,NaN,NaN
NaN,NaN,323.080000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.090000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.070000,518.030000,NaN,NaN,NaN,NaN
NaN,NaN,323.100000,518.040000,432.593275,580.044667,NaN,NaN
NaN,NaN,323.100000,518.040000,432.990000,579.980000,NaN,NaN
NaN,NaN,323.080000,518.040000,433.000000,579.980000,NaN,NaN
NaN,NaN,323.100000,518.050000,433.010000,579.990000,NaN,NaN
NaN,NaN,323.100000,518.040000,433.020000,580.000000,NaN,NaN
NaN,NaN,323.060000,518.040000,433.030000,579.980000,NaN,NaN
NaN,NaN,323.080000,518.040000,433.000000,579.990000,NaN,NaN
NaN,NaN,323.090000,518.030000,433.020000,579.980000,NaN,NaN
NaN,NaN,323.100000,518.030000,433.010000,579.990000,NaN,NaN
NaN,NaN,323.110000,518.030000,433.030000,579.940000,NaN,NaN
NaN,NaN,323.110000,518.030000,433.050000,579.960000,NaN,NaN
NaN,NaN,323.090000,518.040000,433.040000,579.970000,NaN,NaN
NaN,NaN,323.130000,518.040000,433.010000,579.970000,NaN,NaN
NaN,NaN,323.110000,518.040000,433.010000,579.980000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.010000,579.980000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.020000,580.000000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.010000,580.010000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.010000,579.980000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.020000,579.960000,NaN,NaN
NaN,NaN,323.120000,518.040000,433.010000,579.980000,NaN,NaN
NaN,NaN,323.110000,518.050000,433.040000,580.030000,NaN,NaN
NaN,NaN,323.100000,518.050000,433.000000,579.980000,NaN,NaN
NaN,NaN,323.090000,518.060000,433.020000,580.000000,NaN,NaN
NaN,NaN,323.090000,518.060000,433.000000,580.000000,NaN,NaN
NaN,NaN,323.100000,518.060000,433.000000,579.990000,NaN,NaN
NaN,NaN,323.100000,518.050000,432.980000,579.970000,NaN,NaN
NaN,NaN,323.110000,518.050000,432.990000,580.020000,NaN,NaN
NaN,NaN,323.100000,518.050000,433.030000,580.000000,NaN,NaN
NaN,NaN,323.110000,518.050000,432.980000,580.020000,NaN,NaN
NaN,NaN,323.110000,518.060000,432.970000,579.960000,NaN,NaN
NaN,NaN,323.120000,518.060000,433.020000,579.980000,NaN,NaN
NaN,NaN,323.110000,518.050000,433.000000,579.970000,NaN,NaN
NaN,NaN,323.130000,518.060000,433.020000,579.980000,NaN,NaN
NaN,NaN,323.130000,518.060000,433.020000,580.000000,NaN,NaN
NaN,NaN,323.110000,518.070000,433.010000,579.980000,NaN,NaN
NaN,NaN,323.120000,518.080000,433.030000,580.060000,NaN,NaN
NaN,NaN,323.140000,518.060000,433.010000,580.030000,NaN,NaN
NaN,NaN,323.130000,518.050000,433.020000,580.020000,NaN,NaN
NaN,NaN,323.150000,518.060000,433.020000,580.010000,NaN,NaN
NaN,NaN,323.150000,518.060000,432.980000,580.000000,NaN,NaN
NaN,NaN,323.140000,518.070000,433.030000,580.000000,NaN,NaN
NaN,NaN,323.130000,518.070000,433.050000,580.000000,NaN,NaN
NaN,NaN,323.140000,518.080000,433.020000,580.040000,NaN,NaN
