pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,788.010000,126.150000,NaN,NaN
NaN,NaN,788.000000,126.150000,NaN,NaN
NaN,NaN,787.990000,126.130000,NaN,NaN
NaN,NaN,787.970000,126.180000,NaN,NaN
NaN,NaN,787.980000,126.170000,NaN,NaN
NaN,NaN,787.950000,126.180000,NaN,NaN
NaN,NaN,787.950000,126.170000,NaN,NaN
NaN,NaN,787.950000,126.180000,NaN,NaN
NaN,NaN,787.920000,126.190000,NaN,NaN
NaN,NaN,787.910000,126.170000,NaN,NaN
NaN,NaN,787.920000,126.180000,NaN,NaN
NaN,NaN,787.920000,126.200000,NaN,NaN
NaN,NaN,787.910000,126.180000,NaN,NaN
NaN,NaN,787.910000,126.220000,NaN,NaN
NaN,NaN,787.890000,126.200000,NaN,NaN
NaN,NaN,787.890000,126.190000,NaN,NaN
NaN,NaN,787.890000,126.210000,NaN,NaN
NaN,NaN,787.880000,126.200000,NaN,NaN
NaN,NaN,787.880000,126.190000,NaN,NaN
NaN,NaN,787.870000,126.200000,NaN,NaN
NaN,NaN,787.860000,126.240000,NaN,NaN
NaN,NaN,787.850000,126.230000,NaN,NaN
NaN,NaN,787.840000,126.210000,NaN,NaN
NaN,NaN,787.830000,126.200000,NaN,NaN
NaN,NaN,787.820000,126.200000,NaN,NaN
NaN,NaN,787.820000,126.220000,NaN,NaN
NaN,NaN,787.830000,126.220000,NaN,NaN
NaN,NaN,787.830000,126.200000,NaN,NaN
NaN,NaN,787.810000,126.220000,NaN,NaN
NaN,NaN,787.820000,126.210000,NaN,NaN
NaN,NaN,787.790000,126.210000,NaN,NaN
NaN,NaN,787.790000,126.210000,NaN,NaN
NaN,NaN,787.770000,126.200000,NaN,NaN
NaN,NaN,787.770000,126.200000,NaN,NaN
NaN,NaN,787.770000,126.190000,NaN,NaN
NaN,NaN,787.770000,126.210000,NaN,NaN
NaN,NaN,787.750000,126.210000,NaN,NaN
NaN,NaN,787.710000,126.240000,NaN,NaN
NaN,NaN,787.720000,126.200000,NaN,NaN
NaN,NaN,787.690000,126.210000,NaN,NaN
NaN,NaN,787.710000,126.230000,NaN,NaN
NaN,NaN,787.680000,126.250000,NaN,NaN
NaN,NaN,787.660000,126.230000,NaN,NaN
NaN,NaN,787.660000,126.230000,NaN,NaN
NaN,NaN,787.650000,126.240000,NaN,NaN
NaN,NaN,787.670000,126.260000,NaN,NaN
NaN,NaN,787.630000,126.250000,NaN,NaN
NaN,NaN,787.620000,126.240000,NaN,NaN
NaN,NaN,787.610000,126.220000,NaN,NaN
NaN,NaN,787.600000,126.230000,NaN,NaN
NaN,NaN,787.610000,126.230000,NaN,NaN
NaN,NaN,787.590000,126.230000,NaN,NaN
NaN,NaN,787.550000,126.250000,NaN,NaN
NaN,NaN,787.540000,126.270000,NaN,NaN
NaN,NaN,787.540000,126.280000,NaN,NaN
NaN,NaN,787.520000,126.260000,NaN,NaN
NaN,NaN,787.520000,126.280000,NaN,NaN
NaN,NaN,787.520000,126.280000,NaN,NaN
NaN,NaN,787.500000,126.250000,NaN,NaN
NaN,NaN,787.140000,126.260000,NaN,NaN
NaN,NaN,787.120000,126.240000,NaN,NaN
NaN,NaN,787.120000,126.270000,NaN,NaN
NaN,NaN,787.090000,126.300000,NaN,NaN
NaN,NaN,787.100000,126.300000,NaN,NaN
NaN,NaN,787.090000,126.290000,NaN,NaN
NaN,NaN,787.100000,126.270000,NaN,NaN
NaN,NaN,787.090000,126.260000,NaN,NaN
NaN,NaN,787.100000,126.270000,NaN,NaN
NaN,NaN,787.100000,126.280000,NaN,NaN
NaN,NaN,787.100000,126.280000,NaN,NaN
NaN,NaN,787.080000,126.280000,NaN,NaN
NaN,NaN,787.070000,126.280000,NaN,NaN
NaN,NaN,787.050000,126.270000,NaN,NaN
NaN,NaN,787.030000,126.270000,NaN,NaN
NaN,NaN,787.030000,126.260000,NaN,NaN
NaN,NaN,787.020000,126.280000,NaN,NaN
NaN,NaN,787.010000,126.260000,NaN,NaN
NaN,NaN,787.000000,126.250000,NaN,NaN
NaN,NaN,787.000000,126.280000,NaN,NaN
NaN,NaN,786.990000,126.260000,NaN,NaN
NaN,NaN,786.970000,126.270000,NaN,NaN
NaN,NaN,786.970000,126.270000,NaN,NaN
NaN,NaN,786.970000,126.270000,NaN,NaN
NaN,NaN,786.960000,126.260000,NaN,NaN
NaN,NaN,786.970000,126.270000,NaN,NaN
NaN,NaN,786.970000,126.250000,NaN,NaN
NaN,NaN,786.960000,126.260000,NaN,NaN
NaN,NaN,786.940000,126.270000,NaN,NaN
NaN,NaN,786.910000,126.300000,NaN,NaN
NaN,NaN,786.910000,126.280000,NaN,NaN
NaN,NaN,786.910000,126.220000,NaN,NaN
NaN,NaN,786.900000,126.240000,NaN,NaN
NaN,NaN,786.900000,126.230000,NaN,NaN
NaN,NaN,786.900000,126.240000,NaN,NaN
NaN,NaN,786.850000,126.230000,NaN,NaN
NaN,NaN,786.860000,126.250000,NaN,NaN
NaN,NaN,786.840000,126.250000,NaN,NaN
NaN,NaN,786.840000,126.270000,NaN,NaN
NaN,NaN,786.850000,126.250000,NaN,NaN
NaN,NaN,786.820000,126.260000,569.708962,114.784225
NaN,NaN,786.820000,126.240000,570.000000,115.000000
NaN,NaN,786.800000,126.220000,570.000000,115.000000
NaN,NaN,786.770000,126.230000,570.020000,115.000000
NaN,NaN,786.770000,126.220000,570.030000,115.000000
NaN,NaN,786.750000,126.220000,570.020000,115.000000
NaN,NaN,786.800000,126.260000,570.050000,115.000000
NaN,NaN,786.780000,126.230000,570.050000,115.000000
NaN,NaN,786.770000,126.200000,570.060000,115.000000
NaN,NaN,786.760000,126.210000,570.070000,115.000000
NaN,NaN,786.760000,126.230000,570.070000,115.010000
NaN,NaN,786.700000,126.180000,570.090000,115.010000
NaN,NaN,786.690000,126.180000,570.100000,115.010000
NaN,NaN,786.670000,126.200000,570.100000,115.020000
NaN,NaN,786.660000,126.200000,570.110000,115.020000
NaN,NaN,786.640000,126.190000,570.100000,115.020000
NaN,NaN,786.640000,126.190000,570.100000,115.020000
NaN,NaN,786.640000,126.190000,570.120000,115.010000
NaN,NaN,786.620000,126.180000,570.120000,115.010000
NaN,NaN,786.580000,126.220000,570.130000,115.020000
NaN,NaN,786.580000,126.190000,570.130000,115.010000
NaN,NaN,786.580000,126.220000,569.708962,115.122065
NaN,NaN,786.570000,126.180000,569.708962,115.459905
NaN,NaN,786.530000,126.180000,570.742891,115.459905
NaN,NaN,786.150000,126.210000,569.708962,115.459905
NaN,NaN,786.150000,126.210000,569.708962,115.459905
NaN,NaN,786.150000,126.220000,570.000000,114.990000
NaN,NaN,786.130000,126.200000,570.000000,114.990000
NaN,NaN,786.120000,126.190000,570.000000,114.990000
NaN,NaN,786.120000,126.190000,570.000000,115.000000
NaN,NaN,786.100000,126.180000,570.000000,115.000000
NaN,NaN,786.100000,126.150000,570.000000,114.990000
NaN,NaN,786.090000,126.150000,570.010000,114.990000
NaN,NaN,786.070000,126.150000,570.010000,114.990000
NaN,NaN,786.070000,126.150000,570.000000,114.980000
NaN,NaN,786.040000,126.170000,570.000000,114.980000
NaN,NaN,786.030000,126.150000,569.708962,115.459905
NaN,NaN,786.020000,126.170000,569.708962,115.459905
NaN,NaN,786.010000,126.140000,569.708962,116.811266
NaN,NaN,786.010000,126.130000,569.930000,117.440000
NaN,NaN,786.000000,126.150000,569.940000,117.420000
NaN,NaN,785.990000,126.130000,569.930000,117.420000
NaN,NaN,785.980000,126.120000,569.990000,117.000000
NaN,NaN,785.990000,126.120000,570.000000,116.990000
NaN,NaN,785.960000,126.110000,569.990000,116.990000
NaN,NaN,785.930000,126.120000,569.980000,116.990000
NaN,NaN,785.920000,126.110000,569.970000,116.980000
NaN,NaN,785.920000,126.120000,569.970000,116.990000
NaN,NaN,785.910000,126.100000,569.960000,116.990000
NaN,NaN,785.920000,126.080000,569.970000,116.980000
NaN,NaN,785.900000,126.090000,569.970000,116.970000
NaN,NaN,785.880000,126.080000,569.970000,116.970000
NaN,NaN,785.890000,126.050000,569.950000,116.970000
NaN,NaN,785.880000,126.050000,569.940000,116.960000
NaN,NaN,785.870000,126.060000,569.950000,116.950000
NaN,NaN,785.890000,126.050000,569.950000,116.940000
NaN,NaN,785.810000,126.040000,569.950000,116.950000
NaN,NaN,785.820000,126.040000,569.940000,116.940000
NaN,NaN,785.800000,126.040000,569.940000,116.930000
NaN,NaN,785.810000,126.030000,569.940000,116.930000
NaN,NaN,785.790000,126.040000,569.930000,116.930000
NaN,NaN,785.780000,126.040000,569.930000,116.930000
NaN,NaN,785.770000,126.040000,569.930000,116.920000
NaN,NaN,785.750000,126.020000,569.930000,116.920000
NaN,NaN,785.740000,126.020000,569.920000,116.900000
NaN,NaN,785.710000,126.030000,569.920000,116.900000
NaN,NaN,785.700000,126.010000,569.910000,116.910000
NaN,NaN,785.700000,126.010000,569.910000,116.900000
NaN,NaN,785.680000,126.000000,569.900000,116.900000
NaN,NaN,785.710000,126.030000,569.880000,116.890000
NaN,NaN,785.640000,126.010000,569.890000,116.880000
NaN,NaN,785.660000,126.000000,569.890000,116.880000
NaN,NaN,785.640000,125.990000,569.880000,116.880000
NaN,NaN,785.650000,125.990000,569.870000,116.870000
NaN,NaN,785.640000,126.010000,569.880000,116.850000
NaN,NaN,785.600000,126.010000,569.880000,116.850000
NaN,NaN,785.560000,125.990000,569.860000,116.840000
NaN,NaN,785.490000,125.990000,569.860000,116.840000
NaN,NaN,785.140000,126.010000,569.850000,116.840000
NaN,NaN,785.140000,126.010000,569.860000,116.820000
NaN,NaN,785.140000,126.010000,569.870000,116.810000
NaN,NaN,785.120000,125.980000,569.860000,116.790000
NaN,NaN,785.110000,125.990000,569.860000,116.780000
NaN,NaN,785.080000,125.990000,569.870000,116.780000
NaN,NaN,785.080000,125.990000,569.860000,116.770000
NaN,NaN,785.070000,125.980000,569.850000,116.750000
NaN,NaN,785.070000,125.970000,569.840000,116.750000
NaN,NaN,785.060000,125.960000,569.840000,116.750000
NaN,NaN,785.070000,125.940000,569.830000,116.730000
NaN,NaN,785.090000,125.940000,569.830000,116.720000
NaN,NaN,785.070000,125.920000,569.810000,116.710000
NaN,NaN,785.040000,125.920000,569.800000,116.690000
NaN,NaN,785.040000,125.940000,569.800000,116.680000
NaN,NaN,785.050000,125.910000,569.780000,116.670000
NaN,NaN,785.020000,125.880000,569.740000,116.660000
NaN,NaN,784.990000,125.890000,569.740000,116.630000
NaN,NaN,784.980000,125.940000,570.053605,116.811266
NaN,NaN,784.970000,125.920000,569.990000,116.980000
NaN,NaN,784.960000,125.910000,569.970000,116.970000
NaN,NaN,784.970000,125.930000,569.960000,116.950000
NaN,NaN,784.950000,125.910000,569.930000,116.930000
NaN,NaN,784.960000,125.880000,569.910000,116.920000
NaN,NaN,784.960000,125.870000,569.900000,116.900000
NaN,NaN,784.960000,125.880000,569.880000,116.880000
NaN,NaN,784.940000,125.880000,569.870000,116.860000
NaN,NaN,784.920000,125.870000,569.840000,116.850000
NaN,NaN,784.930000,125.860000,569.820000,116.820000
NaN,NaN,784.910000,125.880000,569.800000,116.790000
NaN,NaN,784.900000,125.870000,569.800000,116.790000
NaN,NaN,784.890000,125.850000,569.800000,116.780000
NaN,NaN,784.860000,125.870000,569.790000,116.750000
NaN,NaN,784.880000,125.900000,569.760000,116.710000
NaN,NaN,784.890000,125.930000,569.730000,116.690000
NaN,NaN,784.880000,125.870000,569.700000,116.670000
NaN,NaN,784.850000,125.850000,569.690000,116.660000
NaN,NaN,784.830000,125.850000,569.690000,116.660000
NaN,NaN,784.810000,125.850000,569.660000,116.640000
NaN,NaN,784.810000,125.850000,569.650000,116.630000
NaN,NaN,784.790000,125.850000,569.630000,116.600000
NaN,NaN,784.800000,125.860000,569.620000,116.560000
NaN,NaN,784.800000,125.830000,569.600000,116.530000
NaN,NaN,784.780000,125.830000,569.720000,115.960000
NaN,NaN,784.770000,125.840000,569.700000,115.950000
NaN,NaN,784.750000,125.840000,569.700000,115.950000
NaN,NaN,784.740000,125.820000,569.700000,115.930000
NaN,NaN,784.730000,125.830000,569.680000,115.910000
NaN,NaN,784.730000,125.850000,569.640000,115.900000
NaN,NaN,784.690000,125.840000,569.640000,115.890000
NaN,NaN,784.650000,125.830000,569.620000,115.880000
NaN,NaN,784.680000,125.840000,569.610000,115.870000
NaN,NaN,784.670000,125.790000,569.610000,115.840000
NaN,NaN,784.620000,125.810000,569.600000,115.830000
NaN,NaN,784.670000,125.810000,569.590000,115.830000
NaN,NaN,784.660000,125.830000,569.580000,115.820000
NaN,NaN,784.640000,125.830000,569.590000,115.820000
NaN,NaN,784.630000,125.800000,569.580000,115.800000
NaN,NaN,784.620000,125.800000,569.570000,115.810000
NaN,NaN,784.630000,125.800000,569.570000,115.780000
NaN,NaN,784.590000,125.800000,569.570000,115.780000
NaN,NaN,784.540000,125.800000,569.540000,115.780000
NaN,NaN,784.200000,125.850000,569.540000,115.770000
NaN,NaN,784.230000,125.860000,569.540000,115.780000
NaN,NaN,784.220000,125.820000,569.550000,115.770000
NaN,NaN,784.240000,125.820000,569.560000,115.780000
NaN,NaN,784.230000,125.810000,569.580000,115.780000
NaN,NaN,784.240000,125.820000,569.590000,115.790000
