filename,Calibration (px/mm)
Pm 006 (10) 07-Aug-24_18-55-29_00608xypts.csv,8.778711
Pm 006 (10) 07-Aug-24_18-58-30_00609xypts.csv,8.778711
Pm 006 (10) 07-Aug-24_18-53-44_00607xypts.csv,8.778711
Pm 006 (10) 07-Aug-24_19-00-42_00610xypts.csv,8.778711
Pm 005 (10) 17-Sep-24_19-02-26_00632xypts.csv,8.778711
Pm 005 (10) 17-Sep-24_19-09-05_00633xypts.csv,8.778711
Pm 005 (10) 17-Sep-24_19-11-20_00634xypts.csv,8.778711
Pm 005 (10) 17-Sep-24_19-19-16_00635xypts.csv,8.778711
Pm 001 (10) 23-Sep-24_18_27_21_00658xypts.csv,8.778711
Pm 001 (10) 23-Sep-24_18-24-26_00657xypts.csv,8.778711
Pm 001 (10) 23-Sep-24_18-30-02_00659xypts.csv,8.778711
Pm 001 (10) 23-Sep-24_18-32-16_00660xypts.csv,8.778711
Pm 003 (05) 07-Oct-24_18-34-36_00731xypts.csv,8.778711
Pm 003 (05) 07-Oct-24_18-21-52_00727xypts.csv,8.778711
Pm 003 (05) 07-Oct-24_18-28-09_00729xypts.csv,8.778711
Pm 003 (05) 07-Oct-24_18-30-09_00730xypts.csv,8.778711
Pm 003 (05) 07-Oct-24_18-36-47_00732xypts.csv,8.778711
Pm 005 (15) 07-Oct-24_17_47_31_00723xypts.csv,8.778711
Pm 001 (15) 14-Oct-24_18-58-21_00762xypts.csv,8.778711
Pm 001 (15) 14-Oct-24_19-03-31_00764xypts.csv,8.778711
Pm 001 (15) 14-Oct-24_19-10-57_00766xypts.csv,8.778711
Pm 006 (10) 14-Oct-24_18_24_16_00757xypts.csv,8.778711
Pm 005 (20) 21-Oct-24_17-41-49_00802xypts.csv,8.778711
Pm 005 (20) 21-Oct-24_17-46-40_00804xypts.csv,8.778711
Pm 005 (20) 21-Oct-24_17-49-45_00806xypts.csv,8.778711
Pm 005 (20) 21-Oct-24_17-51-58_00808xypts.csv,8.778711
Pm 006 (05) 12-Feb-25_18_09_23_01009xypts.csv,8.721133
Pm 006 (05) 12-Feb-25_18_14_56_01011xypts.csv,8.721133
Pm 006 (05) 12-Feb-25_18_41_09_01017xypts.csv,8.721133
Pm 006 (15) 12-Feb-25_18-30-58_01012xypts.csv,8.721133
Pm 006 (05) 17-Feb-25_18-27-06_01016xypts.csv,8.811656
Pm 003 (20) 05-Mar-25_18_23_52_01164xypts.csv,6.431861
Pm 003 (20) 05-Mar-25_18_26_39_01165xypts.csv,6.431861
Pm 003 (20) 05-Mar-25_18_28_35_01166xypts.csv,6.431861
Pm 003 (20) 05-Mar-25_18-19-46_01162xypts.csv,6.431861
Pm 003 (20) 05-Mar-25_18-21-51_01163xypts.csv,6.431861
Pm 005 (15) 05-Mar-25_19_18_29_01172xypts.csv,6.431861
Pm 005 (15) 05-Mar-25_19_21_00_01173xypts.csv,6.431861
Pm 005 (15) 05-Mar-25_19-18-29_01172xypts.csv,6.431861
Pm 005 (15) 05-Mar-25_19-24-00_01174xypts.csv,6.431861
Pm 006 (15) 05-Mar-25_17-55-30_01156xypts.csv,6.431861
Pm 006 (15) 05-Mar-25_17-57-51_01157xypts.csv,6.431861
Pm 006 (15) 05-Mar-25_18-00-04_01158xypts.csv,6.431861
Pm 006 (15) 05-Mar-25_18-02-05_01159xypts.csv,6.431861
Pm 006 (15) 05-Mar-25_18-04-10_01160xypts.csv,6.431861
Pm 003 (05) 12-Mar-25_16_52_10_01213xypts.csv,6.517982
Pm 003 (05) 12-Mar-25_16-57-35_01215xypts.csv,6.517982
Pm 003 (05) 12-Mar-25_17-02-54_01217xypts.csv,6.517982
Pm 003 (05) 12-Mar-25_17-04-48_01218xypts.csv,6.517982
Pm 003 (15) 14-Mar-25_19-42-48_01247xypts.csv,6.40655
Pm 006 (15) 17-Mar-25_19_26_22_01254xypts.csv,6.297746
Pm 003 (25) 19-Mar-25_16_58_57_01263xypts.csv,6.297746
Pm 006 (25) 19-Mar-25_17_22_48_01267xypts.csv,6.297746
Pm 006 (25) 19-Mar-25_17-18-36_01266xypts.csv,6.297746
Pm 003 (25) 24-Mar-25_22_48_19_01317xypts.csv,6.534595
Pm 003 (25) 24-Mar-25_22_50_47_01318xypts.csv,6.534595
Pm 003 (25) 24-Mar-25_22_53_59_01319xypts.csv,6.534595
Pm 003 (25) 24-Mar-25_22-45-06_01316xypts.csv,6.534595
Pm 003 (25) 24-Mar-25_23-00-33_01321xypts.csv,6.534595
Pm 006 (05) 24-Mar-25_18_43_33_01308xypts.csv,6.534595
Pm 006 (05) 24-Mar-25_18-27-50_01304xypts.csv,6.534595
Pm 006 (05) 24-Mar-25_18-31-27_01305xypts.csv,6.534595
Pm 006 (05) 24-Mar-25_18-38-50_01307xypts.csv,6.534595
Pm 005 (05) 26-Mar-25_16_56_13_01326xypts.csv,6.331517
Pm 005 (05) 26-Mar-25_16-50-20_01324xypts.csv,6.331517
Pm 005 (05) 26-Mar-25_16-53-12_01325xypts.csv,6.331517
Pm 006 (10) 28-Apr-25_16-49-07_01438xypts.csv,6.339011
Pm 006 (10) 28-Apr-25_16-54-03_01440xypts.csv,6.339011
