filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Pm 002 (15) 15-Jul-24_18-01-02_00454xypts.csv,Pm,2,Pm2,15,15-Jul-24,19.2556342,0.182333333,6.009475453,0.222,0.23,0.215333333,336,0.185333333,9.0660438,0.182666667,10.27455986,0.225666667,0.0623,0.186,3.54,0.179666667,0.1764,0.181,16.24902918,0.222333333,16.11685399
Pm 002 (15) 15-Jul-24_18-03-12_00455xypts.csv,Pm,2,Pm2,15,15-Jul-24,4.544843487,0.106333333,4.483019789,0.134,0.197,0.113666667,118.8,0.129,14.6798643,0.137,2.753844882,0.137666667,0.0405,0.097666667,4.11,0.091333333,0.115497,0.093333333,7.192603234,0.134333333,2.843880011
Pm 002 (15) 15-Jul-24_18-07-04_00456xypts.csv,Pm,2,Pm2,15,15-Jul-24,6.50593517,0.234333333,3.582810495,0.270666667,0.268,0.239,324,0.236333333,14.1841728,0.237333333,3.828227329,0.281,0.0286,0.268666667,2.319,0.297333333,0.0394896,0.285333333,6.930887207,0.271666667,5.687769377
Pm 002 (15) 15-Jul-24_18-09-00_00457xypts.csv,Pm,2,Pm2,15,15-Jul-24,19.67635969,0.542666667,5.683367025,0.581333333,0.221,0.552333333,267.6,0.543666667,8.5245642,0.544666667,9.172224808,0.593,0.0646,0.565666667,1.836,0.502333333,0.0939084,0.558,14.49061291,0.583,14.83247989
Pm 002 (20) 08-Jul-24_18-29-58_00395xypts.csv,Pm,2,Pm2,20,8-Jul-24,18.33994059,0.021,7.229351444,0.074333333,0.301,0.045333333,1755,0.021333333,28.774206,0.022666667,11.1379965,0.082333333,0.071,0.012666667,5.4,0.004333333,0.269037,0.006666667,18.32123512,0.082,15.18085942
Pm 002 (20) 08-Jul-24_18-42-43_00397xypts.csv,Pm,2,Pm2,20,8-Jul-24,15.31575959,0.394333333,6.79926644,0.434666667,0.311,0.399333333,342,0.396666667,17.7440106,0.397666667,8.403754175,0.432333333,0.0703,0.411,4.29,0.463666667,0.1229334,0.404666667,15.19087131,0.434333333,12.48043409
Pm 002 (20) 08-Jul-24_18-45-02_00398xypts.csv,Pm,2,Pm2,20,8-Jul-24,11.61463459,0.182666667,6.169228926,0.224,0.369,0.201,429,0.184666667,25.61142,0.199333333,6.585564216,0.244,0.0362,0.191666667,1.518,0.163,0.0371778,0.165666667,12.58673733,0.224333333,8.668836405
Pm 002 (20) 08-Jul-24_18-47-47_00399xypts.csv,Pm,2,Pm2,20,8-Jul-24,6.593666038,0.036666667,4.022565606,0.060666667,0.305,0.04,795,0.037,32.87436,0.07,4.714992538,0.066666667,0.0445,0.052,1.983,0.079666667,0.0633681,0.047,8.544970511,0.062,4.978320642
Pm 002 (25) 22-Jul-24_18-22-58_00517xypts.csv,Pm,2,Pm2,25,22-Jul-24,9.006076809,0.075,5.348038205,0.113,0.28,0.084666667,327,0.077,9.3876408,0.092,5.403150674,0.136666667,0.0386,0.095666667,1.587,0.088333333,0.0504075,0.089333333,10.50910907,0.113333333,7.453361738
Pm 002 (25) 22-Jul-24_18-28-13_00519xypts.csv,Pm,2,Pm2,25,22-Jul-24,11.21313137,0.034333333,4.693022444,0.059666667,0.326,0.046,306,0.044,18.884475,0.062,8.430314033,0.059,0.111,0.028333333,7.14,0.020666667,0.587292,0.023,13.11925611,0.059666667,5.139395244
Pm 002 (25) 22-Jul-24_18-30-51_00520xypts.csv,Pm,2,Pm2,25,22-Jul-24,11.3295136,0.206666667,5.904848796,0.237666667,0.293,0.219333333,276,0.209,18.079236,0.24,9.866382959,0.266666667,0.0783,0.224666667,5.43,0.252666667,0.1798335,0.219333333,14.17942105,0.238333333,8.956146712
Pm 002 (25) 22-Jul-24_18-40-18_00523xypts.csv,Pm,2,Pm2,25,22-Jul-24,9.765054492,0.058666667,6.468232331,0.091666667,0.399,0.075333333,972,0.059,26.1435924,0.074,8.589142929,0.121666667,0.064,0.080333333,3.63,0.108666667,0.1384956,0.073,13.07422476,0.092333333,8.437348053
Pm 003 (05) 07-Oct-24_18-21-52_00727xypts.csv,Pm,3,Pm3,5,7-Oct-24,5.793526591,0.089,5.337425046,0.139666667,0.18,0.109333333,792,0.089333333,12.1169772,0.089666667,3.119673973,0.184,0.0507,0.146,5.94,0.139,0.196875,0.141333333,7.358850857,0.159333333,4.952353119
Pm 003 (05) 07-Oct-24_18-28-09_00729xypts.csv,Pm,3,Pm3,5,7-Oct-24,15.29659337,0.178,5.6157005,0.252333333,0.189,0.191333333,195.6,0.188666667,6.1532226,0.189333333,12.77324698,0.284666667,0.0429,0.222,1.044,0.183666667,0.0287361,0.208666667,17.68785354,0.279,12.849999
