pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,840.870000,251.000000,747.350000,229.180000
NaN,NaN,840.880000,251.000000,747.330000,229.170000
NaN,NaN,840.880000,250.970000,747.340000,229.170000
NaN,NaN,840.890000,251.000000,747.340000,229.160000
NaN,NaN,840.900000,251.020000,747.310000,229.170000
NaN,NaN,840.860000,251.010000,747.350000,229.150000
NaN,NaN,840.890000,251.000000,747.330000,229.140000
NaN,NaN,840.870000,251.000000,747.310000,229.130000
NaN,NaN,840.820000,250.990000,747.340000,229.160000
NaN,NaN,840.850000,251.000000,747.300000,229.150000
NaN,NaN,840.800000,250.990000,747.310000,229.140000
NaN,NaN,840.840000,251.030000,747.300000,229.120000
NaN,NaN,840.850000,250.980000,747.320000,229.120000
NaN,NaN,840.860000,251.010000,747.330000,229.130000
NaN,NaN,840.890000,250.990000,747.320000,229.120000
NaN,NaN,840.850000,250.990000,747.320000,229.120000
NaN,NaN,840.870000,250.980000,747.310000,229.100000
NaN,NaN,840.860000,250.990000,747.320000,229.110000
NaN,NaN,840.870000,250.980000,747.310000,229.110000
NaN,NaN,840.860000,251.010000,747.300000,229.110000
NaN,NaN,840.900000,250.970000,747.310000,229.110000
NaN,NaN,840.870000,250.990000,747.320000,229.110000
NaN,NaN,840.890000,250.980000,747.330000,229.100000
NaN,NaN,840.880000,250.980000,747.320000,229.090000
NaN,NaN,840.860000,250.990000,747.300000,229.110000
NaN,NaN,840.860000,250.990000,747.300000,229.090000
NaN,NaN,840.850000,250.980000,747.310000,229.100000
NaN,NaN,840.880000,250.980000,747.270000,229.100000
NaN,NaN,840.840000,251.000000,747.270000,229.110000
NaN,NaN,840.830000,251.000000,747.300000,229.080000
NaN,NaN,840.840000,251.010000,747.290000,229.090000
NaN,NaN,840.850000,251.020000,747.300000,229.070000
NaN,NaN,840.850000,251.010000,747.260000,229.070000
NaN,NaN,840.830000,251.010000,747.290000,229.070000
NaN,NaN,840.840000,251.000000,747.270000,229.070000
NaN,NaN,840.820000,251.010000,747.290000,229.060000
NaN,NaN,840.820000,250.970000,747.290000,229.080000
NaN,NaN,840.810000,251.000000,747.260000,229.060000
NaN,NaN,840.850000,251.000000,747.300000,229.040000
NaN,NaN,840.820000,251.020000,747.300000,229.060000
NaN,NaN,840.880000,251.070000,747.300000,229.050000
NaN,NaN,840.870000,251.050000,747.320000,229.050000
NaN,NaN,840.870000,251.020000,747.310000,229.050000
NaN,NaN,840.850000,250.980000,747.310000,229.040000
NaN,NaN,840.850000,251.000000,747.300000,229.030000
NaN,NaN,840.810000,251.000000,747.290000,229.020000
NaN,NaN,840.820000,251.010000,747.300000,229.030000
NaN,NaN,840.800000,251.000000,747.290000,229.030000
NaN,NaN,840.820000,251.000000,747.300000,229.040000
NaN,NaN,840.840000,251.000000,747.280000,229.020000
NaN,NaN,840.830000,250.970000,747.320000,229.040000
NaN,NaN,840.790000,250.970000,747.320000,229.030000
NaN,NaN,840.820000,250.980000,747.300000,229.030000
NaN,NaN,840.790000,251.000000,747.310000,229.040000
NaN,NaN,840.810000,250.970000,747.300000,229.040000
NaN,NaN,840.790000,251.010000,747.310000,229.030000
NaN,NaN,840.780000,251.030000,747.330000,229.010000
NaN,NaN,840.790000,251.010000,747.320000,229.030000
NaN,NaN,840.770000,251.030000,747.320000,229.040000
NaN,NaN,840.770000,251.010000,747.310000,229.030000
NaN,NaN,840.800000,251.000000,747.320000,229.030000
NaN,NaN,840.790000,250.980000,747.300000,229.020000
NaN,NaN,840.750000,251.020000,747.290000,229.020000
NaN,NaN,840.810000,251.010000,747.300000,229.030000
NaN,NaN,840.830000,251.010000,747.300000,229.020000
NaN,NaN,840.820000,251.000000,747.310000,229.020000
NaN,NaN,840.810000,251.000000,747.280000,229.020000
NaN,NaN,840.800000,251.010000,747.290000,229.010000
NaN,NaN,840.800000,251.050000,747.380000,229.010000
NaN,NaN,840.790000,251.010000,747.340000,229.020000
NaN,NaN,840.750000,251.020000,747.380000,229.020000
NaN,NaN,840.760000,251.050000,747.350000,229.030000
NaN,NaN,840.740000,251.040000,747.330000,229.040000
NaN,NaN,840.740000,251.070000,747.340000,229.030000
NaN,NaN,840.750000,251.080000,747.350000,229.030000
NaN,NaN,840.730000,251.080000,747.340000,229.040000
NaN,NaN,840.770000,251.040000,747.350000,229.020000
NaN,NaN,840.750000,251.040000,747.370000,228.990000
NaN,NaN,840.710000,251.030000,747.350000,229.000000
NaN,NaN,840.800000,251.020000,747.360000,229.010000
NaN,NaN,840.780000,250.990000,747.340000,229.010000
NaN,NaN,840.780000,251.010000,747.370000,229.040000
NaN,NaN,840.750000,251.000000,747.360000,229.030000
NaN,NaN,840.770000,251.040000,747.340000,229.030000
NaN,NaN,840.740000,251.040000,747.330000,229.040000
NaN,NaN,840.740000,251.080000,747.360000,229.050000
NaN,NaN,840.780000,251.080000,747.360000,229.040000
NaN,NaN,840.750000,251.070000,747.350000,229.040000
NaN,NaN,840.760000,251.080000,747.330000,229.030000
NaN,NaN,840.720000,251.050000,747.350000,229.030000
NaN,NaN,840.730000,251.070000,747.330000,229.030000
NaN,NaN,840.740000,251.080000,747.330000,229.030000
NaN,NaN,840.760000,251.090000,747.300000,229.040000
NaN,NaN,840.720000,251.100000,747.320000,229.030000
NaN,NaN,840.770000,251.110000,747.310000,229.030000
NaN,NaN,840.770000,251.090000,747.320000,229.030000
NaN,NaN,840.740000,251.070000,747.320000,229.020000
NaN,NaN,840.750000,251.070000,747.300000,229.020000
NaN,NaN,840.740000,251.080000,747.370000,229.030000
NaN,NaN,840.770000,251.070000,747.370000,229.020000
NaN,NaN,840.790000,251.070000,747.380000,229.020000
NaN,NaN,840.720000,251.080000,747.400000,229.020000
NaN,NaN,840.700000,251.080000,747.360000,229.030000
NaN,NaN,840.690000,251.050000,747.330000,229.030000
NaN,NaN,840.710000,251.060000,747.330000,229.040000
NaN,NaN,840.710000,251.070000,747.390000,229.020000
NaN,NaN,840.730000,251.040000,747.380000,229.020000
NaN,NaN,840.690000,251.040000,747.350000,229.000000
NaN,NaN,840.660000,251.040000,747.340000,229.010000
NaN,NaN,840.700000,251.050000,747.340000,229.010000
NaN,NaN,840.690000,251.050000,747.360000,229.020000
NaN,NaN,840.640000,251.070000,747.360000,229.010000
NaN,NaN,840.660000,251.080000,747.330000,229.000000
NaN,NaN,840.670000,251.080000,747.360000,229.030000
NaN,NaN,840.730000,251.080000,747.360000,229.030000
NaN,NaN,840.620000,251.070000,747.370000,229.010000
NaN,NaN,840.630000,251.080000,747.380000,229.000000
NaN,NaN,840.660000,251.060000,747.320000,229.000000
NaN,NaN,840.610000,251.080000,747.320000,229.000000
NaN,NaN,840.620000,251.090000,747.350000,229.000000
NaN,NaN,840.630000,251.080000,747.330000,228.980000
NaN,NaN,840.640000,251.060000,747.350000,228.980000
NaN,NaN,840.620000,251.080000,747.340000,228.980000
NaN,NaN,840.680000,251.060000,747.330000,228.990000
NaN,NaN,840.670000,251.060000,747.320000,228.990000
NaN,NaN,840.630000,251.040000,747.310000,228.990000
NaN,NaN,840.630000,251.070000,747.300000,228.990000
NaN,NaN,840.550000,251.080000,747.300000,228.990000
NaN,NaN,840.050000,251.120000,747.310000,229.030000
NaN,NaN,840.060000,251.120000,747.300000,229.000000
NaN,NaN,840.080000,251.130000,747.290000,228.990000
NaN,NaN,840.060000,251.130000,747.300000,228.980000
NaN,NaN,840.070000,251.150000,747.300000,228.980000
NaN,NaN,840.030000,251.150000,747.290000,228.990000
NaN,NaN,840.040000,251.140000,747.310000,228.990000
NaN,NaN,840.040000,251.150000,747.330000,228.980000
NaN,NaN,840.030000,251.140000,747.350000,228.990000
NaN,NaN,840.030000,251.100000,747.330000,228.980000
NaN,NaN,840.040000,251.090000,747.320000,228.980000
NaN,NaN,840.010000,251.080000,747.300000,228.980000
NaN,NaN,840.010000,251.080000,747.320000,228.980000
NaN,NaN,840.020000,251.080000,747.330000,228.980000
NaN,NaN,839.970000,251.080000,747.340000,228.960000
NaN,NaN,839.980000,251.120000,747.330000,229.000000
NaN,NaN,839.990000,251.130000,747.320000,228.980000
NaN,NaN,840.000000,251.110000,747.340000,228.980000
NaN,NaN,839.990000,251.110000,747.320000,228.980000
NaN,NaN,840.000000,251.120000,747.310000,228.980000
NaN,NaN,839.980000,251.100000,747.300000,229.000000
NaN,NaN,839.990000,251.080000,747.290000,228.990000
NaN,NaN,839.970000,251.110000,747.300000,228.990000
NaN,NaN,839.960000,251.130000,747.270000,229.000000
NaN,NaN,839.960000,251.080000,747.300000,229.000000
NaN,NaN,839.960000,251.060000,747.300000,229.010000
NaN,NaN,839.970000,251.070000,747.310000,229.000000
NaN,NaN,839.940000,251.110000,747.310000,229.000000
NaN,NaN,839.910000,251.120000,747.320000,228.990000
NaN,NaN,839.940000,251.120000,747.320000,228.990000
NaN,NaN,839.960000,251.040000,747.340000,229.020000
NaN,NaN,839.930000,251.080000,747.340000,229.020000
NaN,NaN,839.880000,251.050000,747.320000,229.020000
NaN,NaN,839.890000,251.080000,747.350000,229.010000
NaN,NaN,839.890000,251.050000,747.330000,229.020000
