"filename","species","individual","temperature","date","preystartdist","timeprojstart","maxproj","timemaxproj","peakprojvel","timemaxprojvel","peakprojacc","timemaxprojacc","peakmmsprojpower","timemaxprojpower","maxlunge","timemaxlunge","peaklungevel","timemaxlungevel","peaklungeacc","timemmaxlungeacc","peakbmslungepower","timemaxlungepower","maxreach","timemaxreach","tonguestartdist"
"Pm 006 (05) 12-Feb-25_18_09_23_01009xypts.csv","Pm","006","05","12-Feb-25","5.75391324458426","0.118","2.16527393502877","0.17","0.113","0.131333333333333","103.8","0.151333333333333","1.28955411","0.129","3.34817908889553","0.221333333333333","0.0165","0.126","3.75","0.057","0.0108054","0.120333333333333","5.10766319857836","0.171","4.47001730543405"
"Pm 006 (05) 12-Feb-25_18_14_56_01011xypts.csv","Pm","006","05","12-Feb-25","7.17538702432277","0.0893333333333333","3.1459798127118","0.151666666666667","0.195","0.106333333333333","220.8","0.0903333333333333","6.262416","0.105","2.62436231415747","0.205666666666667","0.0213","0.0543333333333333","7.26","0.0496666666666667","0.068901","0.0506666666666667","5.64819309186533","0.155666666666667","6.38235052750607"
"Pm 006 (05) 12-Feb-25_18_41_09_01017xypts.csv","Pm","006","05","12-Feb-25","6.45842678647553","0.108","3.54059161137998","0.171333333333333","0.147","0.118333333333333","102.9","0.116","3.034812","0.116333333333333","1.3149232184416","0.229","0.0156","0.145","1.44","0.136","0.0139878","0.139333333333333","4.74976328353193","0.172333333333333","6.4928785918588"
"Pm 006 (05) 17-Feb-25_18-27-06_01016xypts.csv","Pm","006","05","17-Feb-25","10.6162620745902","0.112666666666667","2.71938908315536","0.172666666666667","0.165","0.137333333333333","266.4","0.135","6.7891869","0.136","7.4350032931289","0.216666666666667","0.0285","0.125","0.981","0.015","0.0122553","0.119","9.72984925710593","0.172666666666667","7.25003093248024"
"Pm 006 (05) 24-Mar-25_18_43_33_01308xypts.csv","Pm","006","05","24-Mar-25","2.86390081192807","0.0993333333333333","2.18917249023066","0.151333333333333","0.113","0.102333333333333","243.6","0.0996666666666667","2.81370783","0.100333333333333","1.03851006830833","0.184333333333333","0.00647","0.0983333333333333","0.702","0.092","0.00306","0.0943333333333333","3.06266882332439","0.152","2.55255555126239"
"Pm 006 (05) 24-Mar-25_18-27-50_01304xypts.csv","Pm","006","05","24-Mar-25","8.32834372045503","0.0503333333333333","3.17972099269835","0.0986666666666667","0.252","0.0536666666666667","298.8","0.0506666666666667","11.1765345","0.052","4.94434403735811","0.142666666666667","0.02","0.0686666666666667","1.413","0.128333333333333","0.014547","0.0116666666666667","7.49391269841705","0.1","6.18545863365394"
"Pm 006 (05) 24-Mar-25_18-31-27_01305xypts.csv","Pm","006","05","24-Mar-25","3.14788115977699","0.0183333333333333","2.89214533468122","0.074","0.189","0.0246666666666667","158.7","0.022","5.546094","0.023","2.50915987570433","0.0933333333333333","0.0211","0.0403333333333333","1.572","0.0346666666666667","0.0253872","0.036","5.19690513262437","0.0856666666666667","2.85224830816334"
"Pm 006 (05) 24-Mar-25_18-38-50_01307xypts.csv","Pm","006","05","24-Mar-25","3.93513604657433","0.07","2.49867862073966","0.119666666666667","0.166","0.079","171.3","0.0703333333333333","5.1246108","0.0703333333333333","3.43365494824614","0.189333333333333","0.0135","0.0763333333333333","0.903","0.166666666666667","0.007176","0.0713333333333333","5.29005805668901","0.132","2.70646209884089"
"Pm 006 (10) 07-Aug-24_18-53-44_00607xypts.csv","Pm","006","10","07-Aug-24","8.73322195785752","0.00366666666666667","4.11231629155603","0.0583333333333333","0.185","0.008","191.4","0.00566666666666667","6.1365195","0.00633333333333333","5.26720087186867","0.0666666666666667","0.0419","0.032","2.244","0.0856666666666667","0.0404622","0.0743333333333333","9.28146191759149","0.064","8.60396910775843"
"Pm 006 (10) 07-Aug-24_18-55-29_00608xypts.csv","Pm","006","10","07-Aug-24","7.03815457368992","0.101666666666667","4.37205032235801","0.151666666666667","0.167","0.117666666666667","321","0.102","5.5829904","0.103333333333333","4.75807059151024","0.140333333333333","0.0478","0.0946666666666667","4.53","0.086","0.139788","0.0886666666666667","8.90226614780708","0.150333333333333","5.07492989124627"
"Pm 006 (10) 07-Aug-24_18-58-30_00609xypts.csv","Pm","006","10","07-Aug-24","11.0364503543926","0.0186666666666667","4.24201509791824","0.074","0.14","0.0216666666666667","205.2","0.019","3.69183384","0.0196666666666667","7.52433316762998","0.139","0.0399","0.049","2.52","0.001","0.0427086","0.004","10.8526610084826","0.0743333333333333","9.68664409507609"
"Pm 006 (10) 07-Aug-24_19-00-42_00610xypts.csv","Pm","006","10","07-Aug-24","9.64825527753216","0.0606666666666667","3.34340381692924","0.116666666666667","0.345","0.0686666666666667","732","0.061","26.677593","0.0673333333333333","8.60161850881608","0.133666666666667","0.0426","0.081","2.49","0.156333333333333","0.0631377","0.141","11.5756645037548","0.117666666666667","7.71296242080429"
"Pm 006 (10) 14-Oct-24_18_24_16_00757xypts.csv","Pm","006","10","14-Oct-24","5.61380140570693","0.0846666666666667","2.6411184934608","0.116333333333333","0.157","0.0876666666666667","188.7","0.085","4.3009236","0.086","5.50137271272336","0.120333333333333","0.0436","0.0606666666666667","11.49","0.0366666666666667","0.0640953","0.0546666666666667","8.09033608332147","0.117","3.28877820019367"
"Pm 006 (10) 28-Apr-25_16-49-07_01438xypts.csv","Pm","006","10","28-Apr-25","6.33734901173762","0.196666666666667","1.51572366994868","0.220333333333333","0.112","0.198333333333333","157.5","0.197","4.37322891","0.23","6.89962540585348","0.293","0.0237","0.166666666666667","0.654","0.121","0.0105885","0.154666666666667","8.06502128185795","0.286666666666667","1.83635433565834"
"Pm 006 (10) 28-Apr-25_16-54-03_01440xypts.csv","Pm","006","10","28-Apr-25","11.0427114914951","0.192333333333333","3.01214072434353","0.252","0.153","0.195","252.9","0.192666666666667","5.11896","0.193333333333333","7.55667114819658","0.244","0.0293","0.155333333333333","3.3","0.125","0.0624666","0.127333333333333","10.4719547640173","0.251333333333333","5.7926968937865"
"Pm 006 (15) 05-Mar-25_17-55-30_01156xypts.csv","Pm","006","15","05-Mar-25","7.20854036119496","0.0823333333333333","3.3315903247754","0.117","0.196","0.113","468","0.0826666666666667","9.500823","0.0836666666666667","2.86224623827435","0.133666666666667","0.0164","0.0843333333333333","1.32","0.0236666666666667","0.00997632","0.0256666666666667","5.98723407211341","0.117","6.16649787746318"
